MeSH Headings	records	% of 1678
HUMANS	1115	66.448
FEMALE	501	29.857
MALE	407	24.255
ADULT	312	18.594
COMMUNICATION	248	14.779
YOUNG ADULT	235	14.005
HEALTH KNOWLEDGE ATTITUDES PRACTICE	196	11.681
MIDDLE AGED	187	11.144
ADOLESCENT	185	11.025
UNITED STATES	127	7.569
SURVEYS AND QUESTIONNAIRES	110	6.555
INTERNET	106	6.317
SOCIAL MEDIA	105	6.257
CHILD	103	6.138
AGED	99	5.900
MENTAL RECALL	78	4.648
VACCINATION	77	4.589
PREGNANCY	76	4.529
INFORMATION DISSEMINATION	72	4.291
QUALITATIVE RESEARCH	67	3.993
PROPAGANDA	63	3.754
CROSS SECTIONAL STUDIES	61	3.635
HISTORY 20TH CENTURY	60	3.576
CHILD PRESCHOOL	54	3.218
HEALTH EDUCATION	53	3.159
POLITICS	53	3.159
DECEPTION	52	3.099
PATIENT ACCEPTANCE OF HEALTH CARE	50	2.980
INFANT	49	2.920
ANIMALS	48	2.861
MEMORY	48	2.861
ATTITUDE TO HEALTH	47	2.801
PUBLIC OPINION	46	2.741
MASS MEDIA	44	2.622
PATIENT EDUCATION AS TOPIC	44	2.622
CHINA	43	2.563
PUBLIC HEALTH	41	2.443
FOCUS GROUPS	40	2.384
PARENTS	39	2.324
ATTITUDE OF HEALTH PERSONNEL	38	2.265
INTERVIEWS AS TOPIC	37	2.205
AGED 80 AND OVER	36	2.145
SUGGESTION	35	2.086
DECISION MAKING	34	2.026
HEALTH PROMOTION	34	2.026
CONSUMER HEALTH INFORMATION	33	1.967
HEALTH SERVICES ACCESSIBILITY	32	1.907
HEALTH PERSONNEL	31	1.847
RECOGNITION PSYCHOLOGY	31	1.847
RISK ASSESSMENT	30	1.788
SOCIOECONOMIC FACTORS	30	1.788
HIV INFECTIONS	29	1.728
EMOTIONS	28	1.669
TIME FACTORS	28	1.669
VACCINES	28	1.669
RISK FACTORS	27	1.609
SOCIAL STIGMA	27	1.609
INFANT NEWBORN	26	1.549
REPRESSION PSYCHOLOGY	26	1.549
AGE FACTORS	24	1.430
ATTITUDE	24	1.430
BIOMEDICAL RESEARCH	24	1.430
COGNITION	23	1.371
DISEASE OUTBREAKS	23	1.371
EVIDENCE BASED MEDICINE	23	1.371
PERCEPTION	23	1.371
RETROSPECTIVE STUDIES	23	1.371
INFLUENZA HUMAN	22	1.311
PAPILLOMAVIRUS INFECTIONS	22	1.311
PAPILLOMAVIRUS VACCINES	22	1.311
SEXUAL BEHAVIOR	22	1.311
UNITED KINGDOM	22	1.311
CULTURE	21	1.251
FEAR	21	1.251
GERMANY	21	1.251
TRUST	21	1.251
ALGORITHMS	20	1.192
HEALTH POLICY	20	1.192
INFORMATION SEEKING BEHAVIOR	20	1.192
JUDGMENT	20	1.192
NEOPLASMS	20	1.192
SCIENCE	20	1.192
BRAZIL	19	1.132
FAMILY PLANNING SERVICES	19	1.132
HEALTH BEHAVIOR	19	1.132
HISTORY 19TH CENTURY	19	1.132
MASS SCREENING	19	1.132
REPRODUCIBILITY OF RESULTS	19	1.132
ADVERTISING AS TOPIC	18	1.073
ANALYSIS OF VARIANCE	18	1.073
CONTRACEPTION	18	1.073
INFLUENZA VACCINES	18	1.073
PRACTICE GUIDELINES AS TOPIC	18	1.073
RURAL POPULATION	18	1.073
STUDENTS	18	1.073
ATTENTION	17	1.013
BREAST NEOPLASMS	17	1.013
FRANCE	17	1.013
RETENTION PSYCHOLOGY	17	1.013
SOCIAL SUPPORT	17	1.013
DELIVERY OF HEALTH CARE	16	0.954
FAMILY	16	0.954
HEMORRHAGIC FEVER EBOLA	16	0.954
KNOWLEDGE	16	0.954
PHYSICIAN PATIENT RELATIONS	16	0.954
PHYSICIANS	16	0.954
PREVALENCE	16	0.954
SOCIAL NETWORKING	16	0.954
TREATMENT OUTCOME	16	0.954
COMMUNICATIONS MEDIA	15	0.894
DATA COLLECTION	15	0.894
MOTION PICTURES	15	0.894
PERIODICALS AS TOPIC	15	0.894
TRUTH DISCLOSURE	15	0.894
ABORTION INDUCED	14	0.834
CAREGIVERS	14	0.834
CHOICE BEHAVIOR	14	0.834
DRUG INDUSTRY	14	0.834
EARLY DETECTION OF CANCER	14	0.834
EUROPE	14	0.834
LEARNING	14	0.834
MOTHERS	14	0.834
PILOT PROJECTS	14	0.834
PROFESSIONAL PATIENT RELATIONS	14	0.834
SMOKING	14	0.834
COMPREHENSION	13	0.775
CUES	13	0.775
DIET	13	0.775
HEALTH SERVICES NEEDS AND DEMAND	13	0.775
IMMUNIZATION PROGRAMS	13	0.775
ITALY	13	0.775
MEMORY EPISODIC	13	0.775
PHOTIC STIMULATION	13	0.775
RESEARCH DESIGN	13	0.775
RUSSIA	13	0.775
SOCIAL PERCEPTION	13	0.775
UTERINE CERVICAL NEOPLASMS	13	0.775
VIDEO RECORDING	13	0.775
ACCESS TO INFORMATION	12	0.715
INDIA	12	0.715
LANGUAGE	12	0.715
PATIENT COMPLIANCE	12	0.715
RISK	12	0.715
SEARCH ENGINE	12	0.715
UNIVERSITIES	12	0.715
AFRICAN AMERICANS	11	0.656
ALCOHOL DRINKING	11	0.656
AUSTRALIA	11	0.656
BREAST FEEDING	11	0.656
COMMERCE	11	0.656
CONTRACEPTION BEHAVIOR	11	0.656
HEALTH CARE SURVEYS	11	0.656
HEALTH COMMUNICATION	11	0.656
HEALTH LITERACY	11	0.656
INTERPERSONAL RELATIONS	11	0.656
LIFE STYLE	11	0.656
MEDICATION ADHERENCE	11	0.656
MILITARY PERSONNEL	11	0.656
PREJUDICE	11	0.656
PROSPECTIVE STUDIES	11	0.656
SOCIAL BEHAVIOR	11	0.656
TELEVISION	11	0.656
UGANDA	11	0.656
VISUAL PERCEPTION	11	0.656
ADAPTATION PSYCHOLOGICAL	10	0.596
ANTI BACTERIAL AGENTS	10	0.596
ETHNIC GROUPS	10	0.596
GLOBAL HEALTH	10	0.596
HISTORY 21ST CENTURY	10	0.596
INFORMED CONSENT	10	0.596
MENTAL DISORDERS	10	0.596
MODELS THEORETICAL	10	0.596
MOTIVATION	10	0.596
NARRATION	10	0.596
PANDEMICS	10	0.596
QUALITY OF LIFE	10	0.596
SOCIETIES MEDICAL	10	0.596
TISSUE AND ORGAN PROCUREMENT	10	0.596
BIAS	9	0.536
CARDIOVASCULAR DISEASES	9	0.536
DEVELOPING COUNTRIES	9	0.536
INFLUENZA A VIRUS H1N1 SUBTYPE	9	0.536
