MeSH Headings	Freq	StartYear	EndYear	Database	TermType
ALCOHOLISM	1	1940	1949	MEDLINE-WOS	mesh
ANIMAL EXPERIMENTATION	1	1940	1949	MEDLINE-WOS	mesh
ANIMALS	1	1940	1949	MEDLINE-WOS	mesh
ANTIBIOTIC PROPHYLAXIS	1	1940	1949	MEDLINE-WOS	mesh
BIOMEDICAL RESEARCH	1	1940	1949	MEDLINE-WOS	mesh
BRAZIL	2	1940	1949	MEDLINE-WOS	mesh
COMMUNICATION	1	1940	1949	MEDLINE-WOS	mesh
EDUCATION VETERINARY	1	1940	1949	MEDLINE-WOS	mesh
GOVERNMENT AGENCIES	1	1940	1949	MEDLINE-WOS	mesh
HAPPINESS	1	1940	1949	MEDLINE-WOS	mesh
HEALTH	2	1940	1949	MEDLINE-WOS	mesh
HEALTH EDUCATION	3	1940	1949	MEDLINE-WOS	mesh
HEALTH RESORTS	1	1940	1949	MEDLINE-WOS	mesh
HUMANS	18	1940	1949	MEDLINE-WOS	mesh
HYDROTHERAPY	1	1940	1949	MEDLINE-WOS	mesh
INDIA	1	1940	1949	MEDLINE-WOS	mesh
INTELLIGENCE TESTS	1	1940	1949	MEDLINE-WOS	mesh
LEPROSY	1	1940	1949	MEDLINE-WOS	mesh
MEDICINE	2	1940	1949	MEDLINE-WOS	mesh
MINERAL WATERS	1	1940	1949	MEDLINE-WOS	mesh
MUSIC	1	1940	1949	MEDLINE-WOS	mesh
NOSTRUMS	1	1940	1949	MEDLINE-WOS	mesh
ORGANIZATION AND ADMINISTRATION	1	1940	1949	MEDLINE-WOS	mesh
ORGANIZATIONS	1	1940	1949	MEDLINE-WOS	mesh
PHARMACEUTICAL PREPARATIONS	1	1940	1949	MEDLINE-WOS	mesh
PHARMACEUTICAL SERVICES	1	1940	1949	MEDLINE-WOS	mesh
PHARMACIES	1	1940	1949	MEDLINE-WOS	mesh
PHARMACY	1	1940	1949	MEDLINE-WOS	mesh
PLEASURE	1	1940	1949	MEDLINE-WOS	mesh
PREJUDICE	1	1940	1949	MEDLINE-WOS	mesh
PRESCRIPTIONS	1	1940	1949	MEDLINE-WOS	mesh
PROPAGANDA	14	1940	1949	MEDLINE-WOS	mesh
PSYCHOLOGY SOCIAL	1	1940	1949	MEDLINE-WOS	mesh
PUBLIC HEALTH	2	1940	1949	MEDLINE-WOS	mesh
QUINOLINES	1	1940	1949	MEDLINE-WOS	mesh
RADIOGRAPHY	1	1940	1949	MEDLINE-WOS	mesh
SCIENCE	1	1940	1949	MEDLINE-WOS	mesh
SEXUALLY TRANSMITTED DISEASES	1	1940	1949	MEDLINE-WOS	mesh
SHIPS	1	1940	1949	MEDLINE-WOS	mesh
STATE MEDICINE	1	1940	1949	MEDLINE-WOS	mesh
SUGGESTION	1	1940	1949	MEDLINE-WOS	mesh
TUBERCULOSIS	1	1940	1949	MEDLINE-WOS	mesh
VETERINARY MEDICINE	1	1940	1949	MEDLINE-WOS	mesh
VIVISECTION	1	1940	1949	MEDLINE-WOS	mesh
WARFARE	2	1940	1949	MEDLINE-WOS	mesh
X RAYS	1	1940	1949	MEDLINE-WOS	mesh
HUMANS	61	1950	1959	MEDLINE-WOS	mesh
PROPAGANDA	57	1950	1959	MEDLINE-WOS	mesh
BIOMEDICAL RESEARCH	9	1950	1959	MEDLINE-WOS	mesh
PUBLIC HEALTH	8	1950	1959	MEDLINE-WOS	mesh
NEOPLASMS	7	1950	1959	MEDLINE-WOS	mesh
DRUG INDUSTRY	5	1950	1959	MEDLINE-WOS	mesh
HEALTH EDUCATION	5	1950	1959	MEDLINE-WOS	mesh
HEALTH	4	1950	1959	MEDLINE-WOS	mesh
BREAST NEOPLASMS	3	1950	1959	MEDLINE-WOS	mesh
MEDICINE	3	1950	1959	MEDLINE-WOS	mesh
ORGANIZATIONS	3	1950	1959	MEDLINE-WOS	mesh
SEXUALLY TRANSMITTED DISEASES	3	1950	1959	MEDLINE-WOS	mesh
TUBERCULOSIS	3	1950	1959	MEDLINE-WOS	mesh
ACCIDENTS	2	1950	1959	MEDLINE-WOS	mesh
ANTIBIOTIC PROPHYLAXIS	2	1950	1959	MEDLINE-WOS	mesh
ANTITUBERCULAR AGENTS	2	1950	1959	MEDLINE-WOS	mesh
BLOOD TRANSFUSION	2	1950	1959	MEDLINE-WOS	mesh
COMMUNICATION	2	1950	1959	MEDLINE-WOS	mesh
DATA COLLECTION	2	1950	1959	MEDLINE-WOS	mesh
DISEASE	2	1950	1959	MEDLINE-WOS	mesh
EARLY DIAGNOSIS	2	1950	1959	MEDLINE-WOS	mesh
FRANCE	2	1950	1959	MEDLINE-WOS	mesh
MENTAL RECALL	2	1950	1959	MEDLINE-WOS	mesh
MINNESOTA	2	1950	1959	MEDLINE-WOS	mesh
NATIONAL HEALTH PROGRAMS	2	1950	1959	MEDLINE-WOS	mesh
NEWSPAPERS AS TOPIC	2	1950	1959	MEDLINE-WOS	mesh
PHARMACY	2	1950	1959	MEDLINE-WOS	mesh
PSYCHOLOGICAL TESTS	2	1950	1959	MEDLINE-WOS	mesh
PSYCHOLOGICAL WARFARE	2	1950	1959	MEDLINE-WOS	mesh
SANITATION	2	1950	1959	MEDLINE-WOS	mesh
VACCINATION	2	1950	1959	MEDLINE-WOS	mesh
WATER SUPPLY	2	1950	1959	MEDLINE-WOS	mesh
ACCIDENT PREVENTION	1	1950	1959	MEDLINE-WOS	mesh
ACCIDENTS TRAFFIC	1	1950	1959	MEDLINE-WOS	mesh
ADAPTATION PSYCHOLOGICAL	1	1950	1959	MEDLINE-WOS	mesh
ADVERTISING AS TOPIC	1	1950	1959	MEDLINE-WOS	mesh
ALCOHOLISM	1	1950	1959	MEDLINE-WOS	mesh
ART	1	1950	1959	MEDLINE-WOS	mesh
ATTITUDE	1	1950	1959	MEDLINE-WOS	mesh
BEVERAGES	1	1950	1959	MEDLINE-WOS	mesh
BIOMETRY	1	1950	1959	MEDLINE-WOS	mesh
BLOOD BANKS	1	1950	1959	MEDLINE-WOS	mesh
BLOOD GLUCOSE	1	1950	1959	MEDLINE-WOS	mesh
BLOOD PRESERVATION	1	1950	1959	MEDLINE-WOS	mesh
CARDIOVASCULAR DISEASES	1	1950	1959	MEDLINE-WOS	mesh
CHARITIES	1	1950	1959	MEDLINE-WOS	mesh
CHILD	1	1950	1959	MEDLINE-WOS	mesh
CHILD PRESCHOOL	1	1950	1959	MEDLINE-WOS	mesh
CHOLERA	1	1950	1959	MEDLINE-WOS	mesh
COMMERCE	1	1950	1959	MEDLINE-WOS	mesh
COMMUNICATIONS MEDIA	1	1950	1959	MEDLINE-WOS	mesh
COMMUNISM	1	1950	1959	MEDLINE-WOS	mesh
CONDITIONING CLASSICAL	1	1950	1959	MEDLINE-WOS	mesh
CONTRACEPTION	1	1950	1959	MEDLINE-WOS	mesh
CORNEA	1	1950	1959	MEDLINE-WOS	mesh
CORNEAL DISEASES	1	1950	1959	MEDLINE-WOS	mesh
CUBA	1	1950	1959	MEDLINE-WOS	mesh
DEVELOPED COUNTRIES	1	1950	1959	MEDLINE-WOS	mesh
DIABETES MELLITUS	1	1950	1959	MEDLINE-WOS	mesh
DIET	1	1950	1959	MEDLINE-WOS	mesh
DIPHTHERIA	1	1950	1959	MEDLINE-WOS	mesh
DRINKING WATER	1	1950	1959	MEDLINE-WOS	mesh
DRIVE	1	1950	1959	MEDLINE-WOS	mesh
EDUCATION	1	1950	1959	MEDLINE-WOS	mesh
EDUCATION MEDICAL	1	1950	1959	MEDLINE-WOS	mesh
ENCEPHALOMYELITIS	1	1950	1959	MEDLINE-WOS	mesh
ETHICS MEDICAL	1	1950	1959	MEDLINE-WOS	mesh
EUROPE	1	1950	1959	MEDLINE-WOS	mesh
EXECUTIVE FUNCTION	1	1950	1959	MEDLINE-WOS	mesh
FAMILY PLANNING SERVICES	1	1950	1959	MEDLINE-WOS	mesh
FASTING	1	1950	1959	MEDLINE-WOS	mesh
FEAR	1	1950	1959	MEDLINE-WOS	mesh
FOOD	1	1950	1959	MEDLINE-WOS	mesh
HEALTH EXPENDITURES	1	1950	1959	MEDLINE-WOS	mesh
HEALTH PERSONNEL	1	1950	1959	MEDLINE-WOS	mesh
HEALTH SERVICES NEEDS AND DEMAND	1	1950	1959	MEDLINE-WOS	mesh
HEART DISEASES	1	1950	1959	MEDLINE-WOS	mesh
HEMATOLOGIC TESTS	1	1950	1959	MEDLINE-WOS	mesh
HOSPITALS	1	1950	1959	MEDLINE-WOS	mesh
HOSPITALS GENERAL	1	1950	1959	MEDLINE-WOS	mesh
HOSPITALS MILITARY	1	1950	1959	MEDLINE-WOS	mesh
HOUSEHOLD ARTICLES	1	1950	1959	MEDLINE-WOS	mesh
INDIA	1	1950	1959	MEDLINE-WOS	mesh
INDONESIA	1	1950	1959	MEDLINE-WOS	mesh
INDUSTRY	1	1950	1959	MEDLINE-WOS	mesh
INFANT	1	1950	1959	MEDLINE-WOS	mesh
INFANT NUTRITION DISORDERS	1	1950	1959	MEDLINE-WOS	mesh
INTERNATIONALITY	1	1950	1959	MEDLINE-WOS	mesh
JURISPRUDENCE	1	1950	1959	MEDLINE-WOS	mesh
KNOWLEDGE	1	1950	1959	MEDLINE-WOS	mesh
KWASHIORKOR	1	1950	1959	MEDLINE-WOS	mesh
LEARNING	1	1950	1959	MEDLINE-WOS	mesh
MALE	1	1950	1959	MEDLINE-WOS	mesh
MARKETING	1	1950	1959	MEDLINE-WOS	mesh
MENTAL HEALTH	1	1950	1959	MEDLINE-WOS	mesh
MILITARY MEDICINE	1	1950	1959	MEDLINE-WOS	mesh
MILITARY PERSONNEL	1	1950	1959	MEDLINE-WOS	mesh
MORALS	1	1950	1959	MEDLINE-WOS	mesh
MOTION PICTURES	1	1950	1959	MEDLINE-WOS	mesh
NAVAL MEDICINE	1	1950	1959	MEDLINE-WOS	mesh
NIACIN	1	1950	1959	MEDLINE-WOS	mesh
NICOTINIC ACIDS	1	1950	1959	MEDLINE-WOS	mesh
NUTRITIONAL PHYSIOLOGICAL PHENOMENA	1	1950	1959	MEDLINE-WOS	mesh
NUTRITIONAL SCIENCES	1	1950	1959	MEDLINE-WOS	mesh
NUTRITIONAL STATUS	1	1950	1959	MEDLINE-WOS	mesh
OCCUPATIONAL DISEASES	1	1950	1959	MEDLINE-WOS	mesh
