Term	Freq	StartYear	EndYear	Database	Platform	TermType
contraception	3	1980	1989	CINAHL	Ebsco	Subject: Major Heading
acquired immunodeficiency syndrome	2	1980	1989	CINAHL	Ebsco	Subject: Major Heading
chiropractic	2	1980	1989	CINAHL	Ebsco	Subject: Major Heading
health information	2	1980	1989	CINAHL	Ebsco	Subject: Major Heading
interprofessional relations	2	1980	1989	CINAHL	Ebsco	Subject: Major Heading
medicine	2	1980	1989	CINAHL	Ebsco	Subject: Major Heading
adolescence	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
adolescent mothers	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
aids serodiagnosis	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
alcohols	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
attitude of health personnel	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
attitude to health	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
blacks	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
books	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
breast feeding	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
death certificates	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
disease	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
documentation	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
educational measurement	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
fertility	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
fertilization	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
health behavior	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
health knowledge	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
health personnel	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
immunoassay	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
interpersonal relations	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
legislation, nursing	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
medical records	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
men	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
nurse midwifery	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
nurses	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
pregnancy outcomes	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
pregnancy tests	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
pressure ulcer	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
privacy and confidentiality	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
puerperium	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
self care	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
support, psychosocial	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
test construction	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
universal precautions	1	1980	1989	CINAHL	Ebsco	Subject: Major Heading
communication	115	1990	1999	CINAHL	Ebsco	Subject: Major Heading
social media	90	1990	1999	CINAHL	Ebsco	Subject: Major Heading
health knowledge	74	1990	1999	CINAHL	Ebsco	Subject: Major Heading
deception	68	1990	1999	CINAHL	Ebsco	Subject: Major Heading
internet	65	1990	1999	CINAHL	Ebsco	Subject: Major Heading
memory	65	1990	1999	CINAHL	Ebsco	Subject: Major Heading
health information	61	1990	1999	CINAHL	Ebsco	Subject: Major Heading
attitude to health	54	1990	1999	CINAHL	Ebsco	Subject: Major Heading
immunization	49	1990	1999	CINAHL	Ebsco	Subject: Major Heading
hiv infections	46	1990	1999	CINAHL	Ebsco	Subject: Major Heading
politics	45	1990	1999	CINAHL	Ebsco	Subject: Major Heading
news	42	1990	1999	CINAHL	Ebsco	Subject: Major Heading
communications media	39	1990	1999	CINAHL	Ebsco	Subject: Major Heading
consumer health information	38	1990	1999	CINAHL	Ebsco	Subject: Major Heading
public health	38	1990	1999	CINAHL	Ebsco	Subject: Major Heading
health beliefs	37	1990	1999	CINAHL	Ebsco	Subject: Major Heading
health education	36	1990	1999	CINAHL	Ebsco	Subject: Major Heading
patient education	36	1990	1999	CINAHL	Ebsco	Subject: Major Heading
health services accessibility	34	1990	1999	CINAHL	Ebsco	Subject: Major Heading
patient attitudes	30	1990	1999	CINAHL	Ebsco	Subject: Major Heading
health promotion	29	1990	1999	CINAHL	Ebsco	Subject: Major Heading
information resources	27	1990	1999	CINAHL	Ebsco	Subject: Major Heading
public opinion	26	1990	1999	CINAHL	Ebsco	Subject: Major Heading
stigma	25	1990	1999	CINAHL	Ebsco	Subject: Major Heading
breast feeding	23	1990	1999	CINAHL	Ebsco	Subject: Major Heading
health behavior	23	1990	1999	CINAHL	Ebsco	Subject: Major Heading
world wide web	23	1990	1999	CINAHL	Ebsco	Subject: Major Heading
attitude of health personnel	22	1990	1999	CINAHL	Ebsco	Subject: Major Heading
access to information	21	1990	1999	CINAHL	Ebsco	Subject: Major Heading
information literacy	21	1990	1999	CINAHL	Ebsco	Subject: Major Heading
smoking	21	1990	1999	CINAHL	Ebsco	Subject: Major Heading
women's health	21	1990	1999	CINAHL	Ebsco	Subject: Major Heading
health personnel	19	1990	1999	CINAHL	Ebsco	Subject: Major Heading
vaccines	19	1990	1999	CINAHL	Ebsco	Subject: Major Heading
support, psychosocial	18	1990	1999	CINAHL	Ebsco	Subject: Major Heading
advertising	17	1990	1999	CINAHL	Ebsco	Subject: Major Heading
attitude to aids	17	1990	1999	CINAHL	Ebsco	Subject: Major Heading
attitude to vaccines	17	1990	1999	CINAHL	Ebsco	Subject: Major Heading
disease outbreaks	17	1990	1999	CINAHL	Ebsco	Subject: Major Heading
health care reform	17	1990	1999	CINAHL	Ebsco	Subject: Major Heading
television	17	1990	1999	CINAHL	Ebsco	Subject: Major Heading
breast neoplasms	16	1990	1999	CINAHL	Ebsco	Subject: Major Heading
neoplasms	16	1990	1999	CINAHL	Ebsco	Subject: Major Heading
nursing role	16	1990	1999	CINAHL	Ebsco	Subject: Major Heading
nutrition	16	1990	1999	CINAHL	Ebsco	Subject: Major Heading
parents	16	1990	1999	CINAHL	Ebsco	Subject: Major Heading
sexuality	16	1990	1999	CINAHL	Ebsco	Subject: Major Heading
abortion, induced	15	1990	1999	CINAHL	Ebsco	Subject: Major Heading
contraception	15	1990	1999	CINAHL	Ebsco	Subject: Major Heading
health policy	15	1990	1999	CINAHL	Ebsco	Subject: Major Heading
health knowledge	19	2000	2009	CINAHL	Ebsco	Subject: Major Heading
internet	16	2000	2009	CINAHL	Ebsco	Subject: Major Heading
health information	14	2000	2009	CINAHL	Ebsco	Subject: Major Heading
consumer health information	13	2000	2009	CINAHL	Ebsco	Subject: Major Heading
hiv infections	13	2000	2009	CINAHL	Ebsco	Subject: Major Heading
attitude to health	12	2000	2009	CINAHL	Ebsco	Subject: Major Heading
information resources	12	2000	2009	CINAHL	Ebsco	Subject: Major Heading
communication	11	2000	2009	CINAHL	Ebsco	Subject: Major Heading
world wide web	10	2000	2009	CINAHL	Ebsco	Subject: Major Heading
memory	9	2000	2009	CINAHL	Ebsco	Subject: Major Heading
health services accessibility	8	2000	2009	CINAHL	Ebsco	Subject: Major Heading
breast feeding	7	2000	2009	CINAHL	Ebsco	Subject: Major Heading
neoplasms	7	2000	2009	CINAHL	Ebsco	Subject: Major Heading
communications media	6	2000	2009	CINAHL	Ebsco	Subject: Major Heading
fraud	6	2000	2009	CINAHL	Ebsco	Subject: Major Heading
health education	6	2000	2009	CINAHL	Ebsco	Subject: Major Heading
politics	6	2000	2009	CINAHL	Ebsco	Subject: Major Heading
abortion, induced	5	2000	2009	CINAHL	Ebsco	Subject: Major Heading
attitude to aids	5	2000	2009	CINAHL	Ebsco	Subject: Major Heading
chiropractic	5	2000	2009	CINAHL	Ebsco	Subject: Major Heading
health care reform	5	2000	2009	CINAHL	Ebsco	Subject: Major Heading
patient attitudes	5	2000	2009	CINAHL	Ebsco	Subject: Major Heading
patient education	5	2000	2009	CINAHL	Ebsco	Subject: Major Heading
stigma	5	2000	2009	CINAHL	Ebsco	Subject: Major Heading
advertising	4	2000	2009	CINAHL	Ebsco	Subject: Major Heading
attitude	4	2000	2009	CINAHL	Ebsco	Subject: Major Heading
breast neoplasms	4	2000	2009	CINAHL	Ebsco	Subject: Major Heading
child abuse, sexual	4	2000	2009	CINAHL	Ebsco	Subject: Major Heading
collective bargaining	4	2000	2009	CINAHL	Ebsco	Subject: Major Heading
decision making	4	2000	2009	CINAHL	Ebsco	Subject: Major Heading
decision making, patient	4	2000	2009	CINAHL	Ebsco	Subject: Major Heading
georgia nurses association	4	2000	2009	CINAHL	Ebsco	Subject: Major Heading
health beliefs	4	2000	2009	CINAHL	Ebsco	Subject: Major Heading
health promotion	4	2000	2009	CINAHL	Ebsco	Subject: Major Heading
immunization	4	2000	2009	CINAHL	Ebsco	Subject: Major Heading
industry	4	2000	2009	CINAHL	Ebsco	Subject: Major Heading
knowledge	4	2000	2009	CINAHL	Ebsco	Subject: Major Heading
medicare	4	2000	2009	CINAHL	Ebsco	Subject: Major Heading
mothers	4	2000	2009	CINAHL	Ebsco	Subject: Major Heading
nutrition education	4	2000	2009	CINAHL	Ebsco	Subject: Major Heading
physician-patient relations	4	2000	2009	CINAHL	Ebsco	Subject: Major Heading
research ethics	4	2000	2009	CINAHL	Ebsco	Subject: Major Heading
sexuality	4	2000	2009	CINAHL	Ebsco	Subject: Major Heading
smoking	4	2000	2009	CINAHL	Ebsco	Subject: Major Heading
vaccines	4	2000	2009	CINAHL	Ebsco	Subject: Major Heading
women	4	2000	2009	CINAHL	Ebsco	Subject: Major Heading
access to information	3	2000	2009	CINAHL	Ebsco	Subject: Major Heading
acquired immunodeficiency syndrome	3	2000	2009	CINAHL	Ebsco	Subject: Major Heading
asbestos	3	2000	2009	CINAHL	Ebsco	Subject: Major Heading
blacks	3	2000	2009	CINAHL	Ebsco	Subject: Major Heading
communication	96	2010	2019	CINAHL	Ebsco	Subject: Major Heading
social media	88	2010	2019	CINAHL	Ebsco	Subject: Major Heading
deception	62	2010	2019	CINAHL	Ebsco	Subject: Major Heading
memory	54	2010	2019	CINAHL	Ebsco	Subject: Major Heading
health knowledge	49	2010	2019	CINAHL	Ebsco	Subject: Major Heading
internet	47	2010	2019	CINAHL	Ebsco	Subject: Major Heading
health information	41	2010	2019	CINAHL	Ebsco	Subject: Major Heading
immunization	41	2010	2019	CINAHL	Ebsco	Subject: Major Heading
attitude to health	39	2010	2019	CINAHL	Ebsco	Subject: Major Heading
news	39	2010	2019	CINAHL	Ebsco	Subject: Major Heading
politics	35	2010	2019	CINAHL	Ebsco	Subject: Major Heading
public health	35	2010	2019	CINAHL	Ebsco	Subject: Major Heading
communications media	30	2010	2019	CINAHL	Ebsco	Subject: Major Heading
hiv infections	29	2010	2019	CINAHL	Ebsco	Subject: Major Heading
health education	28	2010	2019	CINAHL	Ebsco	Subject: Major Heading
patient education	28	2010	2019	CINAHL	Ebsco	Subject: Major Heading
health beliefs	26	2010	2019	CINAHL	Ebsco	Subject: Major Heading
health services accessibility	24	2010	2019	CINAHL	Ebsco	Subject: Major Heading
patient attitudes	23	2010	2019	CINAHL	Ebsco	Subject: Major Heading
health promotion	22	2010	2019	CINAHL	Ebsco	Subject: Major Heading
public opinion	21	2010	2019	CINAHL	Ebsco	Subject: Major Heading
consumer health information	20	2010	2019	CINAHL	Ebsco	Subject: Major Heading
stigma	20	2010	2019	CINAHL	Ebsco	Subject: Major Heading
information literacy	19	2010	2019	CINAHL	Ebsco	Subject: Major Heading
health personnel	18	2010	2019	CINAHL	Ebsco	Subject: Major Heading
access to information	17	2010	2019	CINAHL	Ebsco	Subject: Major Heading
attitude of health personnel	17	2010	2019	CINAHL	Ebsco	Subject: Major Heading
smoking	17	2010	2019	CINAHL	Ebsco	Subject: Major Heading
breast feeding	16	2010	2019	CINAHL	Ebsco	Subject: Major Heading
health behavior	16	2010	2019	CINAHL	Ebsco	Subject: Major Heading
women's health	16	2010	2019	CINAHL	Ebsco	Subject: Major Heading
television	15	2010	2019	CINAHL	Ebsco	Subject: Major Heading
attitude to vaccines	14	2010	2019	CINAHL	Ebsco	Subject: Major Heading
parents	14	2010	2019	CINAHL	Ebsco	Subject: Major Heading
support, psychosocial	14	2010	2019	CINAHL	Ebsco	Subject: Major Heading
contraception	13	2010	2019	CINAHL	Ebsco	Subject: Major Heading
disease outbreaks	13	2010	2019	CINAHL	Ebsco	Subject: Major Heading
health policy	13	2010	2019	CINAHL	Ebsco	Subject: Major Heading
information resources	13	2010	2019	CINAHL	Ebsco	Subject: Major Heading
vaccines	13	2010	2019	CINAHL	Ebsco	Subject: Major Heading
family planning	12	2010	2019	CINAHL	Ebsco	Subject: Major Heading
fear	12	2010	2019	CINAHL	Ebsco	Subject: Major Heading
hemorrhagic fever, ebola	12	2010	2019	CINAHL	Ebsco	Subject: Major Heading
hiv-infected patients	12	2010	2019	CINAHL	Ebsco	Subject: Major Heading
influenza vaccine	12	2010	2019	CINAHL	Ebsco	Subject: Major Heading
measles	12	2010	2019	CINAHL	Ebsco	Subject: Major Heading
motion pictures	12	2010	2019	CINAHL	Ebsco	Subject: Major Heading
nursing role	12	2010	2019	CINAHL	Ebsco	Subject: Major Heading
nutrition	12	2010	2019	CINAHL	Ebsco	Subject: Major Heading
papillomavirus infections	12	2010	2019	CINAHL	Ebsco	Subject: Major Heading
advertising	3	1910	1919	PI	Ebsco	Subject: Major Heading
birth control	3	1910	1919	PI	Ebsco	Subject: Major Heading
economics	3	1910	1919	PI	Ebsco	Subject: Major Heading
propaganda	3	1910	1919	PI	Ebsco	Subject: Major Heading
experimentation	2	1910	1919	PI	Ebsco	Subject: Major Heading
social issues	2	1910	1919	PI	Ebsco	Subject: Major Heading
aesthetics	1	1910	1919	PI	Ebsco	Subject: Major Heading
birth rate	1	1910	1919	PI	Ebsco	Subject: Major Heading
catharsis	1	1910	1919	PI	Ebsco	Subject: Major Heading
citizenship	1	1910	1919	PI	Ebsco	Subject: Major Heading
consumer attitudes	1	1910	1919	PI	Ebsco	Subject: Major Heading
consumer behavior	1	1910	1919	PI	Ebsco	Subject: Major Heading
consumer research	1	1910	1919	PI	Ebsco	Subject: Major Heading
consumer satisfaction	1	1910	1919	PI	Ebsco	Subject: Major Heading
cooperation	1	1910	1919	PI	Ebsco	Subject: Major Heading
educational programs	1	1910	1919	PI	Ebsco	Subject: Major Heading
english as second language	1	1910	1919	PI	Ebsco	Subject: Major Heading
ethics	1	1910	1919	PI	Ebsco	Subject: Major Heading
family planning attitudes	1	1910	1919	PI	Ebsco	Subject: Major Heading
family size	1	1910	1919	PI	Ebsco	Subject: Major Heading
government	1	1910	1919	PI	Ebsco	Subject: Major Heading
human sex differences	1	1910	1919	PI	Ebsco	Subject: Major Heading
human trafficking	1	1910	1919	PI	Ebsco	Subject: Major Heading
hysteria	1	1910	1919	PI	Ebsco	Subject: Major Heading
induced abortion	1	1910	1919	PI	Ebsco	Subject: Major Heading
laws	1	1910	1919	PI	Ebsco	Subject: Major Heading
measurement	1	1910	1919	PI	Ebsco	Subject: Major Heading
offspring	1	1910	1919	PI	Ebsco	Subject: Major Heading
